num,저항(ahm),용량(W),오차율(%)
1,1,0.25,1
2,1,0.25,5
3,4.7,0.25,5
4,5.6,0.25,5
5,10,0.25,1
6,10,0.25,5
7,10,1,5
8,12,0.25,5
9,15,0.25,1
10,15,0.25,5
11,20,0.25,5
12,22,1,5
13,25,0.5,10
14,27,0.25,5
15,27,1,5
16,33,0.25,5
17,39,0.25,5
18,47,0.25,5
19,47,1,5
20,51,0.25,5
21,51,1,5
22,56,0.25,5
23,68,0.25,5
24,82,0.25,5
25,100,1,5
26,150,0.25,5
27,200,0.25,5
28,220,0.25,5
29,240,0.25,5
30,270,0.25,5
31,300,0.25,1
32,300,0.25,5
33,390,1,5
34,390,0.25,5
35,470,0.25,1
36,470,0.25,5
37,470,1,5
38,510,0.25,5
39,680,0.25,1
40,680,0.25,5
41,750,0.25,5
42,1k,0.25,1
43,1k,0.25,5
44,1.3k,0.25,5
45,1.5k,0.25,1
46,1.5k,0.25,5
47,1.5k,1,5
48,2k,0.25,1
49,2k,0.25,5
50,2.2k,1,5
51,2.2k,0.25,5
52,2.4(2.5)k,0.25,5
53,2.6(2.5)k,0.25,5
54,3k,0.25,1
55,3k,0.25,5
56,3k,1,5
57,3.3k,0.25,1
58,3.3k,0.25,5
59,3.3k,1,5
60,3.9k,0.25,5
61,3.9k,1,5
62,4.7k,0.25,1
63,4.7k,0.25,5
64,4.7k,1,5
65,5k,0.25,1
66,5.1k,0.25,5
67,5.6k,0.25,5
68,5.6k,1,5
69,6.8k,0.25,5
70,10k,0.25,1
71,10k,0.25,5
72,10k,1,5
73,12k,0.25,5
74,15k,0.25,5
75,15k,1,5
76,20k,0.25,5
77,22k,0.25,5
78,30k,0.25,5
79,33k,0.25,1
80,33k,0.25,5
81,36k,0.25,5
82,39k,0.25,5
83,47k,1,5
84,51k,0.25,5
85,68k,0.25,5
86,82k,0.25,5
87,100k,0.25,1
88,100k,0.25,5
89,100k,1,5
90,200k,0.25,5
91,270k,0.25,5
92,330k,1,5
93,470k,0.25,5
94,500k,0.25,5
95,560k,0.25,5
96,820k,0.25,5
97,1M,0.25,1
98,1M,0.25,5
99,1M,1,5
100,1.5M,0.25,5
101,2M,0.25,5
102,4.7M,0.25,5
103,5.1M,0.25,5
104,(시)30,10,
